"id","latitude","longitude","name","url"
"275885","39.049418","-94.535647","Vineyard Northwest","http://www.zillow.com/local-info/MO-Kansas-City/Vineyard-Northwest/r_275885/"
"275633","39.034173","-94.598809","Sunset Hill","http://www.zillow.com/local-info/MO-Kansas-City/Sunset-Hill/r_275633/"
"273370","39.041747","-94.59032","Country Club Plaza","http://www.zillow.com/local-info/MO-Kansas-City/Country-Club-Plaza/r_273370/"
"273300","39.067567","-94.600157","Coleman Highlands","http://www.zillow.com/local-info/MO-Kansas-City/Coleman-Highlands/r_273300/"
"273979","38.96257","-94.5494","Hidden Valley","http://www.zillow.com/local-info/MO-Kansas-City/Hidden-Valley/r_273979/"
"273074","39.022403","-94.509299","Brown Estates","http://www.zillow.com/local-info/MO-Kansas-City/Brown-Estates/r_273074/"
"275574","39.042595","-94.440693","Sterling Acres","http://www.zillow.com/local-info/MO-Kansas-City/Sterling-Acres/r_275574/"
"275236","39.006401","-94.605006","Romanelli West","http://www.zillow.com/local-info/MO-Kansas-City/Romanelli-West/r_275236/"
"276313","39.003073","-94.492679","East Sqope Highlands","http://www.zillow.com/local-info/MO-Kansas-City/East-Sqope-Highlands/r_276313/"
"273055","39.067501","-94.584632","Broadway Gillham","http://www.zillow.com/local-info/MO-Kansas-City/Broadway-Gillham/r_273055/"
"273188","39.086656","-94.509125","Central Blue Valley - Park Tower Grade","http://www.zillow.com/local-info/MO-Kansas-City/Central-Blue-Valley----Park-Tower-Grade/r_273188/"
"276395","39.059191","-94.558052","Ivanhoe Northeast","http://www.zillow.com/local-info/MO-Kansas-City/Ivanhoe-Northeast/r_276395/"
"275562","39.016757","-94.604955","Stanford Gardens","http://www.zillow.com/local-info/MO-Kansas-City/Stanford-Gardens/r_275562/"
"272889","39.080861","-94.567805","Beacon Hills","http://www.zillow.com/local-info/MO-Kansas-City/Beacon-Hills/r_272889/"
"275798","39.074557","-94.581907","Union Hill","http://www.zillow.com/local-info/MO-Kansas-City/Union-Hill/r_275798/"
"275953","39.077403","-94.479745","West Blue Township","http://www.zillow.com/local-info/MO-Kansas-City/West-Blue-Township/r_275953/"
"274909","38.974456","-94.510362","Oldham Farms","http://www.zillow.com/local-info/MO-Kansas-City/Oldham-Farms/r_274909/"
"273779","39.000809","-94.538097","Foxtown East","http://www.zillow.com/local-info/MO-Kansas-City/Foxtown-East/r_273779/"
"274297","39.016965","-94.491703","Lewis Heights","http://www.zillow.com/local-info/MO-Kansas-City/Lewis-Heights/r_274297/"
"275217","39.061419","-94.598055","Roanoke","http://www.zillow.com/local-info/MO-Kansas-City/Roanoke/r_275217/"
"276155","39.019123","-94.589743","Wornall Homestead","http://www.zillow.com/local-info/MO-Kansas-City/Wornall-Homestead/r_276155/"
"273406","39.080298","-94.584891","Crown Center","http://www.zillow.com/local-info/MO-Kansas-City/Crown-Center/r_273406/"
"274945","39.061508","-94.54174","Palestine West and Oak Park Northeast","http://www.zillow.com/local-info/MO-Kansas-City/Palestine-West-and-Oak-Park-Northeast/r_274945/"
"275232","38.979178","-94.582915","Rolling Meadows","http://www.zillow.com/local-info/MO-Kansas-City/Rolling-Meadows/r_275232/"
"275805","38.953155","-94.419774","Unity Ridge","http://www.zillow.com/local-info/MO-Kansas-City/Unity-Ridge/r_275805/"
"273900","39.013773","-94.596206","Greenway Fields","http://www.zillow.com/local-info/MO-Kansas-City/Greenway-Fields/r_273900/"
"275532","39.059595","-94.569601","Squier Park","http://www.zillow.com/local-info/MO-Kansas-City/Squier-Park/r_275532/"
"275185","39.111995","-94.583323","River Market","http://www.zillow.com/local-info/MO-Kansas-City/River-Market/r_275185/"
"275918","38.980112","-94.606297","Ward Parkway Plaza","http://www.zillow.com/local-info/MO-Kansas-City/Ward-Parkway-Plaza/r_275918/"
"275634","39.02757","-94.604835","Sunset Hill West","http://www.zillow.com/local-info/MO-Kansas-City/Sunset-Hill-West/r_275634/"
"273375","39.026981","-94.397276","Country Valley - Hawthorn Square","http://www.zillow.com/local-info/MO-Kansas-City/Country-Valley----Hawthorn-Square/r_273375/"
"275750","39.005793","-94.439956","Timber Valley","http://www.zillow.com/local-info/MO-Kansas-City/Timber-Valley/r_275750/"
"273425","39.058013","-94.481239","Cunningham Ridge","http://www.zillow.com/local-info/MO-Kansas-City/Cunningham-Ridge/r_273425/"
"274601","39.073866","-94.564608","Mount Hope","http://www.zillow.com/local-info/MO-Kansas-City/Mount-Hope/r_274601/"
"274778","39.129687","-94.536616","Northest Industrial District","http://www.zillow.com/local-info/MO-Kansas-City/Northest-Industrial-District/r_274778/"
"274690","39.106486","-94.486204","North Blue Ridge","http://www.zillow.com/local-info/MO-Kansas-City/North-Blue-Ridge/r_274690/"
